Transaction ID,Product name,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date,Reseller ID
1629,6x11 Come visit me in Essen,3,8.7,web,Donald,Stringham,Donald.Stringham@example.com,Essen,2019-01-26,1003
1630,4x6 Come visit me in Zaporozhye,6,19.200000000000003,mobile app,Paul,Martinez,Paul.Martinez@example.com,Zaporozhye,2019-01-26,1003
1631,6x9 Merry Christmas from Krasnoyarsk,1,3.2,mobile app,Roger,Ardrey,Roger.Ardrey@example.com,Krasnoyarsk,2019-01-26,1003
1632,6x9 Merry Christmas from Kemerovo,2,3.2,mobile app,Robert,Mitchell,Robert.Mitchell@example.com,Kemerovo,2019-01-26,1003
1633,4x6 Come visit me in Hannover,4,11.2,web,Earnest,Arias,Earnest.Arias@example.com,Hannover,2019-01-26,1003
1634,4.25x6 Greetings from Essen,3,12.299999999999999,in-store,Mary,Dwyer,Mary.Dwyer@example.com,Essen,2019-01-26,1003
1635,5x7 Greetings from Hannover,3,12.0,web,Philip,Simpson,Philip.Simpson@example.com,Hannover,2019-01-26,1003
1636,5x7 All the love from Kishinev,2,5.2,in-store,James,Daniels,James.Daniels@example.com,Kishinev,2019-01-26,1003
1637,6x9 Just settled in Bremen,5,13.5,web,Jamie,Thurston,Jamie.Thurston@example.com,Bremen,2019-01-26,1003
1638,5x7 Merry Christmas from Chelyabinsk,6,16.200000000000003,web,Kimberly,Miller,Kimberly.Miller@example.com,Chelyabinsk,2019-01-26,1003
1639,4x6 Just settled in Ulyanovsk,6,9.0,in-store,Eva,Dixon,Eva.Dixon@example.com,Ulyanovsk,2019-01-26,1003
1640,4.25x6 Come visit me in Kiev,6,26.400000000000002,mobile app,Kaitlyn,Knop,Kaitlyn.Knop@example.com,Kiev,2019-01-26,1003
1641,4.25x6 Just settled in Kraków,5,21.5,mobile app,Bryan,Lee,Bryan.Lee@example.com,Kraków,2019-01-26,1003
1642,6x11 Come visit me in Riga,4,14.4,mobile app,Eugene,Arnold,Eugene.Arnold@example.com,Riga,2019-01-26,1003
1643,4.25x6 Just settled in Kishinev,6,10.8,in-store,Heather,Fisher,Heather.Fisher@example.com,Kishinev,2019-01-26,1003
1644,6x11 Merry Christmas from Perm,6,17.4,mobile app,Pauline,Zamora,Pauline.Zamora@example.com,Perm,2019-01-26,1003
1645,4.25x6 Merry Christmas from Kryvy Rig,2,7.2,mobile app,Maria,Myers,Maria.Myers@example.com,Kryvy Rig,2019-01-26,1003
1646,6x11 All the love from Poznan,6,14.399999999999999,web,Elsie,Saysongkham,Elsie.Saysongkham@example.com,Poznan,2019-01-26,1003
1647,6x11 Merry Christmas from Lódz,3,11.399999999999999,web,Sandra,Wagner,Sandra.Wagner@example.com,Lódz,2019-01-26,1003
1648,4x6 Just settled in Vilnius,6,21.0,mobile app,Latoya,Schopp,Latoya.Schopp@example.com,Vilnius,2019-01-26,1003
1649,5x7 Merry Christmas from Düsseldorf,4,14.0,web,Maryjane,Gibson,Maryjane.Gibson@example.com,Düsseldorf,2019-01-26,1003
1650,6x9 Merry Christmas from Dnepropetrovsk,1,3.8,mobile app,Kendal,Nolte,Kendal.Nolte@example.com,Dnepropetrovsk,2019-01-26,1003
1651,4.25x6 Merry Christmas from Poznan,4,6.0,web,Steve,Fallin,Steve.Fallin@example.com,Poznan,2019-01-26,1003
1652,4.25x6 Come visit me in Poznan,6,12.0,mobile app,Avelina,Haas,Avelina.Haas@example.com,Poznan,2019-01-26,1003
1653,6x11 Just settled in Samara,2,6.2,in-store,Leanne,Spadoni,Leanne.Spadoni@example.com,Samara,2019-01-26,1003
1654,5.5x8.5 Come visit me in Zaporozhye,5,17.0,web,Amber,Dimick,Amber.Dimick@example.com,Zaporozhye,2019-01-26,1003
1655,5.5x8.5 Greetings from Zaporozhye,6,16.200000000000003,web,Andrew,Holmes,Andrew.Holmes@example.com,Zaporozhye,2019-01-26,1003
1656,4.25x6 Just settled in Amsterdam,1,2.1,mobile app,Scott,Krieg,Scott.Krieg@example.com,Amsterdam,2019-01-26,1003
1657,5x7 All the love from Dortmund,6,19.799999999999997,mobile app,Jonathan,Coulter,Jonathan.Coulter@example.com,Dortmund,2019-01-26,1003
1658,5x7 Greetings from Yaroslave,4,15.6,web,Nathaniel,Kieser,Nathaniel.Kieser@example.com,Yaroslave,2019-01-26,1003
1659,4.25x6 Merry Christmas from Voronezh,4,9.6,mobile app,Stephen,Dean,Stephen.Dean@example.com,Voronezh,2019-01-26,1003
1660,4x6 Greetings from Poznan,4,16.0,mobile app,Joseph,Osorno,Joseph.Osorno@example.com,Poznan,2019-01-26,1003
1661,5x7 Come visit me in Sarajevo,2,4.0,mobile app,Christine,Farley,Christine.Farley@example.com,Sarajevo,2019-01-26,1003
1662,5x7 Just settled in Irkutsk,2,6.6,web,Emily,Hussey,Emily.Hussey@example.com,Irkutsk,2019-01-26,1003
1663,4.25x6 Merry Christmas from Mykolaiv ,5,20.0,mobile app,Joan,Conrow,Joan.Conrow@example.com,Mykolaiv ,2019-01-26,1003
1664,4x6 Come visit me in Kraków,1,2.2,in-store,Heather,Spellman,Heather.Spellman@example.com,Kraków,2019-01-26,1003
1665,4x6 All the love from Valencia,6,13.799999999999999,mobile app,Sally,Murphy,Sally.Murphy@example.com,Valencia,2019-01-26,1003
1666,4.25x6 Come visit me in Tula,3,9.600000000000001,mobile app,Dana,Knapchuck,Dana.Knapchuck@example.com,Tula,2019-01-26,1003
1667,4.25x6 Just settled in Essen,6,21.6,web,Maxine,Kirkpatrick,Maxine.Kirkpatrick@example.com,Essen,2019-01-26,1003
1668,4.25x6 All the love from Valencia,6,12.0,web,Shirley,Alvarez,Shirley.Alvarez@example.com,Valencia,2019-01-26,1003
1669,5.5x8.5 All the love from Helsinki,4,12.8,in-store,Kendra,Walker,Kendra.Walker@example.com,Helsinki,2019-01-26,1003
1670,6x11 Greetings from Volgograd,5,15.5,mobile app,Gregorio,Beers,Gregorio.Beers@example.com,Volgograd,2019-01-26,1003
1671,6x9 Just settled in Málaga,6,26.400000000000002,mobile app,Craig,Harris,Craig.Harris@example.com,Málaga,2019-01-26,1003
1672,4x6 Just settled in Novokuznetsk,6,16.200000000000003,web,Ruth,Leonard,Ruth.Leonard@example.com,Novokuznetsk,2019-01-26,1003
1673,6x9 All the love from Ryazan,5,19.5,mobile app,Michael,Carter,Michael.Carter@example.com,Ryazan,2019-01-26,1003
1674,6x9 Merry Christmas from Kishinev,6,23.4,web,Teri,Cos,Teri.Cos@example.com,Kishinev,2019-01-26,1003
1675,5x7 Just settled in Frankfurt Am Main,6,14.399999999999999,in-store,Sandy,Rosa,Sandy.Rosa@example.com,Frankfurt Am Main,2019-01-26,1003
1676,5x7 Just settled in Saratov,3,10.8,web,Anthony,Metayer,Anthony.Metayer@example.com,Saratov,2019-01-26,1003
