Transaction ID,Product name,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date,Reseller ID
20504,5.5x8.5 Just settled in Sofia,3,11.7,in-store,Rebecca,Perry,Rebecca.Perry@example.com,Sofia,2019-11-11,1003
20505,4x6 Merry Christmas from Kobenhavn (Copenhagen),1,1.7,web,Kathryn,Knox,Kathryn.Knox@example.com,Kobenhavn (Copenhagen),2019-11-11,1003
20506,5x7 Come visit me in Kishinev,4,10.4,web,Carolyn,Lin,Carolyn.Lin@example.com,Kishinev,2019-11-11,1003
20507,5x7 Just settled in Krasnoyarsk,1,3.9,web,Mary,Heard,Mary.Heard@example.com,Krasnoyarsk,2019-11-11,1003
20508,6x11 Merry Christmas from Zaporozhye,5,22.0,mobile app,Mark,Luc,Mark.Luc@example.com,Zaporozhye,2019-11-11,1003
20509,4.25x6 All the love from Dnepropetrovsk,2,5.0,web,Marion,Perez,Marion.Perez@example.com,Dnepropetrovsk,2019-11-11,1003
20510,4x6 Just settled in Budapest,6,15.600000000000001,mobile app,Scott,Crumpton,Scott.Crumpton@example.com,Budapest,2019-11-11,1003
20511,6x11 Merry Christmas from Tyumen,5,10.0,web,Donna,Parkhurst,Donna.Parkhurst@example.com,Tyumen,2019-11-11,1003
20512,4x6 Come visit me in Madrid,4,6.0,mobile app,Letha,Sheeran,Letha.Sheeran@example.com,Madrid,2019-11-11,1003
20513,5x7 All the love from Hamburg,5,17.5,mobile app,Sally,Hinton,Sally.Hinton@example.com,Hamburg,2019-11-11,1003
20514,4x6 Just settled in Ufa,2,8.4,in-store,Lula,Cromer,Lula.Cromer@example.com,Ufa,2019-11-11,1003
20515,4.25x6 All the love from Barcelona,2,5.4,web,Boyd,Dale,Boyd.Dale@example.com,Barcelona,2019-11-11,1003
20516,6x9 Merry Christmas from Zagreb,1,3.5,mobile app,Sonja,Suarez,Sonja.Suarez@example.com,Zagreb,2019-11-11,1003
20517,5x7 Come visit me in Wien (Vienna),2,7.0,web,Michael,Neal,Michael.Neal@example.com,Wien (Vienna),2019-11-11,1003
20518,6x11 Merry Christmas from Volgograd,3,4.5,web,William,Magill,William.Magill@example.com,Volgograd,2019-11-11,1003
20519,4x6 Greetings from Duisburg,6,24.0,web,Douglas,Mathews,Douglas.Mathews@example.com,Duisburg,2019-11-11,1003
20520,4x6 Merry Christmas from Stuttgart,1,2.1,web,Rebecca,Dale,Rebecca.Dale@example.com,Stuttgart,2019-11-11,1003
20521,6x9 Merry Christmas from Tolyatti,1,2.7,in-store,Jordan,Stockdill,Jordan.Stockdill@example.com,Tolyatti,2019-11-11,1003
20522,5x7 Just settled in Novosibirsk,4,6.4,mobile app,Philip,Moser,Philip.Moser@example.com,Novosibirsk,2019-11-11,1003
20523,5x7 Just settled in Khabarovsk,3,10.8,web,Mark,Parsons,Mark.Parsons@example.com,Khabarovsk,2019-11-11,1003
20524,6x9 Merry Christmas from Lisboa (Lisbon),6,13.200000000000001,web,Danielle,Maha,Danielle.Maha@example.com,Lisboa (Lisbon),2019-11-11,1003
20525,5x7 All the love from Birmingham,4,9.2,mobile app,Cheryl,Cole,Cheryl.Cole@example.com,Birmingham,2019-11-11,1003
20526,5x7 Merry Christmas from Wroclaw (Breslau),4,17.6,web,Jorge,Wang,Jorge.Wang@example.com,Wroclaw (Breslau),2019-11-11,1003
20527,6x11 All the love from Essen,5,21.0,web,Michael,Meyers,Michael.Meyers@example.com,Essen,2019-11-11,1003
20528,4.25x6 Just settled in Kharkov,4,11.2,mobile app,Carolyn,Swoopes,Carolyn.Swoopes@example.com,Kharkov,2019-11-11,1003
20529,4.25x6 All the love from Kobenhavn (Copenhagen),6,22.200000000000003,mobile app,John,Stott,John.Stott@example.com,Kobenhavn (Copenhagen),2019-11-11,1003
20530,6x9 Come visit me in Mykolaiv ,2,4.8,web,Gary,Menchaca,Gary.Menchaca@example.com,Mykolaiv ,2019-11-11,1003
20531,6x11 All the love from Krasnodar,4,13.6,web,James,Everson,James.Everson@example.com,Krasnodar,2019-11-11,1003
20532,4x6 All the love from Perm,1,4.1,mobile app,Virgil,Gibson,Virgil.Gibson@example.com,Perm,2019-11-11,1003
20533,5x7 Come visit me in Hannover,5,9.0,in-store,Thomas,Mullen,Thomas.Mullen@example.com,Hannover,2019-11-11,1003
